;;;ene;feb;mar;abr;may;jun;jul;ago;sep;oct;nov;dic
02 Albacete;AB;Castilla La Mancha;21;24;28;48;48;36;12;14;32;42;34;28
03 Alicante;AB;Comunidad Valenciana;22;26;26;30;33;17;6;8;47;52;42;26
04 Almería;AL;Andalucía;23;21;15;20;14;10;1;1;12;28;28;23
05 Ávila;AV;Castilla y León;32;22;23;42;50;37;16;19;29;40;43;44
06 Badajoz;BA;Extremadura;52;43;33;52;40;18;4;5;23;56;64;73
08 Barcelona;BA;Cataluña;41;29;42;49;59;42;20;61;85;91;58;51
48 Vizcaya;BI;País Vasco;126;97;94;124;90;64;62;82;74;121;141;116
09 Burgos;BU;Castilla y León;46;42;31;65;69;46;30;27;36;50;56;57
10 Cáceres;CC;Extremadura;58;43;35;49;48;23;7;8;26;59;80;87
11 Cádiz;CA;Andalucía;89;60;42;54;37;13;2;6;22;67;86;109
12 Castellón;CS;Comunidad Valenciana;35;26;29;38;37;20;12;29;62;71;41;46
13 Ciudad Real;CR;Castilla-La Mancha;36;34;28;44;43;29;9;7;22;47;42;55
14 Córdoba;CO;Andalucía;64;53;40;61;34;17;3;3;24;62;85;89
15 La Coruña;C;Galicia;128;102;79;85;80;42;30;35;68;110;114;135
16 Cuenca;CU;Castilla-La Mancha;45;41;32;56;60;44;15;17;37;53;49;58
17 Girona;GI;Cataluña;65;44;53;67;80;66;30;48;68;83;70;63
18 Granada;GR;Andalucía;41;38;30;38;28;17;4;3;16;42;48;53
19 Guadalajara;GU;Castilla-La Mancha;31;31;31;54;74;51;29;29;44;46;39;41
21 Huelva;H;Andalucía;73;43;36;46;30;9;3;4;21;56;74;95
22 Huesca;HU;Aragón;39;32;34;53;62;47;20;38;54;54;50;51
23 Jaén;J;Andalucía;55;50;44;54;43;18;2;9;26;55;62;75
35 Las Palmas;GC;Canarias;18;24;14;7;2;0;0;0;10;13;18;27
24 León;LE;Castilla y León;58;46;29;50;58;39;28;24;39;56;58;70
25 Lleida;L;Cataluña;26;14;27;37;49;34;12;21;39;39;28;28
26 La Rioja;LO;La Rioja;27;23;26;44;48;47;31;23;24;31;36;37
27 Lugo;LU;Galicia;122;108;86;94;93;52;34;34;77;115;122;146
28 Madrid;M;Comunidad de Madrid;37;35;26;47;52;25;15;10;28;49;56;56
29 Málaga;MA;Andalucia;81;55;49;41;25;12;2;6;16;56;95;88
07 Baleares;IB;Islas Baleares;43;34;26;43;30;11;5;17;39;68;58;45
30 Murcia;MU;Región de Murcia;25;28;30;27;32;20;5;10;27;44;32;21
32 Ourense;OU;Galicia;90;81;54;70;67;39;19;23;57;97;93;124
33 Asturias;O;Principado de Asturias;85;85;82;109;94;53;52;55;64;98;101;96
31 Navarra;NA;Comunidad Foral de Navarra;63;52;52;77;74;47;40;43;43;74;80;75
36 Pontevedra;PO;Galicia;204;190;126;140;129;66;44;47;108;185;198;254
37 Salamanca;SA;Castilla y Leon;31;27;22;39;48;34;16;11;32;39;42;42
20 Guipúzcoa;SS;País Vasco;168;150;144;168;138;96;98;112;138;174;186;167
39 Cantabria;S;Cantabria;123;104;105;125;89;62;52;72;85;135;146;117
40 Segovia;SG;Castilla Y León;38;34;30;47;60;38;21;21;30;46;48;50
41 Sevilla;SE;Andalucía;65;54;38;57;34;13;2;6;23;62;84;95
42 Soria;SO;Castilla y León;39;38;28;53;61;46;34;30;31;45;45;51
43 Tarragona;T;Cataluña;38;23;35;40;60;38;15;51;77;65;49;40
38 Santa Cruz de Tenerife;TF;Canarias;98;69;65;54;22;12;6;5;20;48;70;87
44 Teruel;TE;Aragon;17;14;19;36;56;43;30;40;36;42;22;20
45 Toledo;TO;Castilla-La Mancha;28;28;25;41;44;28;12;9;22;38;40;44
46 Valencia;V;Comunidad Valenciana;36;32;35;37;34;23;9;19;51;74;51;52
47 Valladolid;VA;Castilla y León;40;32;23;44;47;33;16;18;31;42;51;56
01 Álava;VI;Pais Vasco;76;65;61;86;70;51;43;45;42;74;89;80
49 Zamora;ZA;Castilla y León;34;28;18;36;42;30;15;13;22;38;42;44
50 Zaragoza;Z;Aragón;22;20;20;35;44;31;18;17;27;30;30;23
51 Ceuta;CE;Ceuta;87;87;59;56;28;13;1;1;11;61;76;108
52 Melilla;ME;Melilla;58;58;47;38;27;10;1;3;10;29;44;47
