,Comunidad,Periodo,Poblacion
0,Andalucía,2021,8472407
1,Aragón,2021,1326261
2,"Asturias, Principado de",2021,1011792
3,"Balears, Illes",2021,1173008
4,Canarias,2021,2172944
5,Cantabria,2021,584507
6,Castilla y León,2021,2383139
7,Castilla - La Mancha,2021,2049562
8,Cataluña,2021,7763362
9,Comunitat Valenciana,2021,5058138
10,Extremadura,2021,1059501
11,Galicia,2021,2695645
12,"Madrid, Comunidad de",2021,6751251
13,"Murcia, Región de",2021,1518486
14,"Navarra, Comunidad Foral de",2021,661537
15,País Vasco,2021,2213993
16,"Rioja, La",2021,319796
17,Ceuta,2021,83517
18,Melilla,2021,86261
