,Comunidad,Periodo,Poblacion,Pais
0,Andalucía,2021,8472407,España
1,Aragón,2021,1326261,España
2,"Asturias, Principado de",2021,1011792,España
3,"Balears, Illes",2021,1173008,España
4,Canarias,2021,2172944,España
5,Cantabria,2021,584507,España
6,Castilla y León,2021,2383139,España
7,Castilla - La Mancha,2021,2049562,España
8,Cataluña,2021,7763362,España
9,Comunitat Valenciana,2021,5058138,España
10,Extremadura,2021,1059501,España
11,Galicia,2021,2695645,España
12,"Madrid, Comunidad de",2021,6751251,España
13,"Murcia, Región de",2021,1518486,España
14,"Navarra, Comunidad Foral de",2021,661537,España
15,País Vasco,2021,2213993,España
16,"Rioja, La",2021,319796,España
17,Ceuta,2021,83517,España
18,Melilla,2021,86261,España
